recid,eqid,station_latitude,station_longitude,scaled_deltaW
50,30,33.801,-118.387,-1.39509584275589
51,30,33.5556,-116.674,2.2901388474184974
52,30,35.37,-119.021,-2.890762619341607
53,30,33.26,-116.37,0.330198955776721
54,30,35.16,-119.35,-1.2624932875138433
55,30,33.9121,-117.838,0.497199173906498
56,30,34.564,-118.642,1.670050040550263
57,30,34.31,-117.3,0.1054613276235986
59,30,35.733,-120.29,-1.72739433173645
60,30,35.671,-120.359,-0.8185587256305951
61,30,34.059,-117.312,0.4986803957797792
62,30,34.704,-118.426,0.0648077587611568
63,30,34.87,-118.9,-1.354671090184434
64,30,34.808,-118.72,0.4028454657239073
65,30,33.729,-116.979,1.5678799729116968
66,30,35.644,-118.474,-1.0052977120139963
67,30,34.09,-118.339,0.9505765160001658
68,30,33.77,-118.23,-1.6961106208244467
69,30,34.674,-118.43,-0.0852242166385055
70,30,34.571,-118.56,1.78728941817041
71,30,34.65,-118.478,0.8380301661538531
72,30,34.608,-118.558,0.708192486742671
73,30,35.997,-119.486,-0.0460264073206487
74,30,35.04,-119.429,-1.3955085000830314
75,30,35.078,-119.401,-1.7751254846324855
77,30,34.57806,-118.11401,0.1922706513063918
78,30,34.139,-118.121,-0.2336817756570933
80,30,34.5083,-117.922,1.4048356769089556
81,30,34.145,-119.206,-1.306546275572716
82,30,34.091,-117.808,0.2701740992244849
83,30,32.719,-117.163,-0.9605795083616429
84,30,33.4894,-117.671,1.2024898136637734
85,30,33.37,-117.56,-0.396721643394031
86,30,34.185,-118.018,1.8031259046156107
87,30,34.46,-118.753,0.4628004733693574
88,30,34.9417,-118.827,0.3183370842513113
89,30,34.41,-119.85,-0.2775065914836587
90,30,34.155,-117.675,0.9261877983988924
91,30,35.027,-118.791,-0.8376620394596962
92,30,34.02,-118.053,0.6300984673904694
93,30,34.36,-117.63,0.3350113846673986
321,76,36.503,-120.32,1.2121865331043724
322,76,35.639,-120.404,-0.3923939483806073
323,76,35.743,-120.277,0.4018126382099767
324,76,35.751,-120.259,-1.4932573445249535
326,76,35.77,-120.247,-1.0185790864514186
327,76,35.724,-120.294,0.2646465590919886
328,76,35.707,-120.316,-0.3043701338271018
329,76,35.718,-120.304,1.493130309047879
