method,task,unit,rmse,crps
Kronecker semivariogram,period_holdout,T=0.01,0.08054064752993488,0.038265678314451254
Kronecker semivariogram,period_holdout,T=0.03,0.07458158089665133,0.03499807556041117
Kronecker semivariogram,period_holdout,T=0.06,0.2077504869755811,0.10575595851751318
Kronecker semivariogram,period_holdout,T=0.1,0.3429585196217926,0.1871213597185865
Kronecker semivariogram,period_holdout,T=0.3,0.45614070424871545,0.25591514136881993
Kronecker semivariogram,period_holdout,T=0.6,0.4385281623394438,0.24467002669375684
Kronecker semivariogram,period_holdout,T=1,0.5020089944348416,0.280489422206744
Kronecker semivariogram,period_holdout,T=3,0.5775816374400152,0.323345843544548
Kronecker semivariogram,period_holdout,T=6,0.686555592566519,0.38421153926489565
Kronecker semivariogram,random_holdout,0,0.37632001710592405,0.18528024871842483
Kronecker semivariogram,random_holdout,1,0.37637042234654955,0.18691017115971476
Kronecker semivariogram,random_holdout,10,0.37054510389411627,0.1829577909400946
Kronecker semivariogram,random_holdout,11,0.3714462424267169,0.18274340672633968
Kronecker semivariogram,random_holdout,12,0.37555616894125904,0.185046373738771
Kronecker semivariogram,random_holdout,13,0.36505103548291323,0.18270449836995234
Kronecker semivariogram,random_holdout,14,0.37895948179784317,0.1877284644054013
Kronecker semivariogram,random_holdout,15,0.3670233227348528,0.18372465958204037
Kronecker semivariogram,random_holdout,16,0.3707872375075633,0.1827718413485267
Kronecker semivariogram,random_holdout,17,0.37237397699130115,0.18481769771129908
Kronecker semivariogram,random_holdout,18,0.37385010482755265,0.18550160555362
Kronecker semivariogram,random_holdout,19,0.37429151645727154,0.18358358189343313
Kronecker semivariogram,random_holdout,2,0.37748257531483537,0.18752607945522384
Kronecker semivariogram,random_holdout,3,0.3647456504607297,0.18046671828739488
Kronecker semivariogram,random_holdout,4,0.3669857001931115,0.1802232926276448
Kronecker semivariogram,random_holdout,5,0.3695857792408028,0.18435566084444688
Kronecker semivariogram,random_holdout,6,0.370332113988749,0.18158923751745512
Kronecker semivariogram,random_holdout,7,0.36782970222661315,0.1812635394588599
Kronecker semivariogram,random_holdout,8,0.37100196737148977,0.18293637504289997
Kronecker semivariogram,random_holdout,9,0.3699037026373566,0.18358046282839643
Kronecker semivariogram,station_holdout,0,0.7903335790649901,0.43638497435140156
Kronecker semivariogram,station_holdout,1,0.7832607090139461,0.4303196243636586
Kronecker semivariogram,station_holdout,10,0.8275249135417744,0.4392875843984808
Kronecker semivariogram,station_holdout,11,0.7917885118610204,0.4254122163348287
Kronecker semivariogram,station_holdout,12,0.8101473354683675,0.4407449409209398
Kronecker semivariogram,station_holdout,13,0.7981655734228885,0.4306352400441578
Kronecker semivariogram,station_holdout,14,0.8078216678885524,0.43257153564543566
Kronecker semivariogram,station_holdout,15,0.7984667004636727,0.4344559776396389
Kronecker semivariogram,station_holdout,16,0.8094029311343467,0.4399842362773315
Kronecker semivariogram,station_holdout,17,0.7682049788735013,0.4270189061540683
Kronecker semivariogram,station_holdout,18,0.7487328188991419,0.41731006874497956
Kronecker semivariogram,station_holdout,19,0.7678601982358743,0.42540054694429064
Kronecker semivariogram,station_holdout,2,0.8204578562774266,0.44734346061943087
Kronecker semivariogram,station_holdout,3,0.833922000598754,0.4471561430073681
Kronecker semivariogram,station_holdout,4,0.7731355023985945,0.4253390501563454
Kronecker semivariogram,station_holdout,5,0.7790124811104121,0.42350678955052234
Kronecker semivariogram,station_holdout,6,0.8086363489276618,0.4437629800504862
Kronecker semivariogram,station_holdout,7,0.8187303575471304,0.4360775215640491
Kronecker semivariogram,station_holdout,8,0.8064539123853627,0.4372737325269355
Kronecker semivariogram,station_holdout,9,0.8334960909547534,0.4435721785875152
LMC block MLE,period_holdout,T=0.01,0.08042035874833856,0.03858472984611144
LMC block MLE,period_holdout,T=0.03,0.07379927083402395,0.034734654753298136
LMC block MLE,period_holdout,T=0.06,0.2055160700761312,0.1047753957870896
LMC block MLE,period_holdout,T=0.1,0.3361544007470396,0.18307829793534433
LMC block MLE,period_holdout,T=0.3,0.4444442282980795,0.24928043580835452
LMC block MLE,period_holdout,T=0.6,0.43165618776289827,0.2413270625891021
LMC block MLE,period_holdout,T=1,0.4931064229988941,0.27580582965044304
LMC block MLE,period_holdout,T=3,0.5676128035044519,0.31818464405514524
LMC block MLE,period_holdout,T=6,0.6789731810954238,0.380324685666489
LMC block MLE,random_holdout,0,0.36521953302480814,0.1791808904603023
LMC block MLE,random_holdout,1,0.36613681595694136,0.1807754908788103
LMC block MLE,random_holdout,10,0.36110631202011423,0.1781620218424124
LMC block MLE,random_holdout,11,0.35852452039326554,0.17580683409475942
LMC block MLE,random_holdout,12,0.3653158182812359,0.1785017148452623
