model,task,metric,mean,sd,se,wins,mean_rank,n
Separable kernel semivariogram,random_holdout,rmse,0.3715220910973776,0.004099158770538505,0.0009165997661488559,0,4.75,20
LMC MLE,random_holdout,rmse,0.36161741497871736,0.004311107498816008,0.0009639929425661688,20,1.0,20
LMC semivariogram,random_holdout,rmse,0.36613473511591954,0.004636780279653549,0.001036815590203582,0,2.15,20
PCA MLE,random_holdout,rmse,0.3680362561725127,0.004202170107703896,0.0009396338013843524,0,2.85,20
PCA semivariogram,random_holdout,rmse,0.37067450187729967,0.004305962962859911,0.0009628425893551162,0,4.25,20
Separable kernel semivariogram,random_holdout,crps,0.183785585310497,0.0021413746817543697,0.0004788259353699749,0,4.7,20
LMC MLE,random_holdout,crps,0.17806999134738521,0.0020610227641823698,0.0004608587003886297,20,1.0,20
LMC semivariogram,random_holdout,crps,0.18121097480363196,0.0021100173724935356,0.00047181422786010403,0,2.2,20
PCA MLE,random_holdout,crps,0.1816741506826058,0.002066994471660988,0.00046219401477502314,0,2.8,20
PCA semivariogram,random_holdout,crps,0.18348933225592684,0.0021260260932841287,0.00047539388665216207,0,4.3,20
Separable kernel semivariogram,station_holdout,rmse,0.7987777234034086,0.02341812510942344,0.005236451965026551,0,4.85,20
LMC MLE,station_holdout,rmse,0.7920576827020211,0.021658150569561784,0.004842909694046593,15,1.25,20
LMC semivariogram,station_holdout,rmse,0.7938457803926827,0.022215732467534766,0.004967588796735687,3,2.4,20
PCA MLE,station_holdout,rmse,0.7944914273429933,0.02185885531819405,0.004887788640181469,2,2.65,20
PCA semivariogram,station_holdout,rmse,0.7974396087955962,0.02294999275410009,0.005131774388129541,0,3.85,20
Separable kernel semivariogram,station_holdout,crps,0.4341778853940933,0.008443782383576919,0.0018880871396893195,0,5.0,20
LMC MLE,station_holdout,crps,0.42974438123915293,0.007506723451687155,0.0016785543926264336,15,1.25,20
LMC semivariogram,station_holdout,crps,0.4306890322240188,0.007626906585539305,0.00170542815833067,4,2.05,20
PCA MLE,station_holdout,crps,0.43192998497099816,0.007955251332035585,0.0017788482756527317,1,2.9,20
PCA semivariogram,station_holdout,crps,0.4333432691704048,0.008266673281124855,0.0018484843404376404,0,3.8,20
Separable kernel semivariogram,period_holdout,rmse,0.37407181400594386,0.21529223515756668,,0,3.7777777777777777,9
LMC MLE,period_holdout,rmse,0.36796476934058675,0.2117688349499294,,9,1.0,9
LMC semivariogram,period_holdout,rmse,0.37425501953302326,0.21352350171582538,,0,3.7777777777777777,9
PCA MLE,period_holdout,rmse,0.3714741830519626,0.21331191855420334,,0,2.111111111111111,9
PCA semivariogram,period_holdout,rmse,0.377877242608931,0.21358200012536033,,0,4.333333333333333,9
Separable kernel semivariogram,period_holdout,crps,0.20608589390996965,0.12391863832395347,,0,3.3333333333333335,9
LMC MLE,period_holdout,crps,0.20289952623237528,0.12197004825526893,,7,1.3333333333333333,9
LMC semivariogram,period_holdout,crps,0.20849323535227487,0.12272883744858165,,0,4.444444444444445,9
PCA MLE,period_holdout,crps,0.20449903169281503,0.12276327924028647,,2,1.7777777777777777,9
PCA semivariogram,period_holdout,crps,0.20782604099814986,0.12298827266880628,,0,4.111111111111111,9
