display_name,model,n_events,rep,rmse
Pairwise empirical semivariogram,pairwise,40,0,0.0529716904517136
Pairwise empirical semivariogram,pairwise,40,1,0.030686867575114
Pairwise empirical semivariogram,pairwise,40,2,0.0183629480894983
Pairwise empirical semivariogram,pairwise,40,3,0.0820578555269486
Pairwise empirical semivariogram,pairwise,40,4,0.025594755804005
Pairwise empirical semivariogram,pairwise,40,5,0.0507502773717339
Pairwise empirical semivariogram,pairwise,40,6,0.0498086041268644
Pairwise empirical semivariogram,pairwise,40,7,0.0476805009150407
Pairwise empirical semivariogram,pairwise,40,8,0.059940080108701
Pairwise empirical semivariogram,pairwise,40,9,0.0321305721216128
Pairwise empirical semivariogram,pairwise,40,10,0.0472429443486152
Pairwise empirical semivariogram,pairwise,40,11,0.0755187675570637
Pairwise empirical semivariogram,pairwise,40,12,0.0424632857471892
Pairwise empirical semivariogram,pairwise,40,13,0.0529176149176393
Pairwise empirical semivariogram,pairwise,40,14,0.0432472927743493
Pairwise empirical semivariogram,pairwise,40,15,0.0346200057807708
Pairwise empirical semivariogram,pairwise,40,16,0.033024641181909
Pairwise empirical semivariogram,pairwise,40,17,0.0504186408494103
Pairwise empirical semivariogram,pairwise,40,18,0.0562654863515728
Pairwise empirical semivariogram,pairwise,40,19,0.0358625947236197
Pairwise empirical semivariogram,pairwise,40,20,0.0461574270380507
Pairwise empirical semivariogram,pairwise,40,21,0.0283031110050924
Pairwise empirical semivariogram,pairwise,40,22,0.0366832568441319
Pairwise empirical semivariogram,pairwise,40,23,0.0282715528076571
Pairwise empirical semivariogram,pairwise,40,24,0.0277808637142976
Pairwise empirical semivariogram,pairwise,40,25,0.0468221491912618
Pairwise empirical semivariogram,pairwise,40,26,0.0407387553937978
Pairwise empirical semivariogram,pairwise,40,27,0.0684310842006837
Pairwise empirical semivariogram,pairwise,40,28,0.0363944485400814
Pairwise empirical semivariogram,pairwise,40,29,0.0749963113890754
Pairwise empirical semivariogram,pairwise,40,30,0.0190717827160487
Pairwise empirical semivariogram,pairwise,40,31,0.0295855416108895
Pairwise empirical semivariogram,pairwise,40,32,0.0399892432693846
Pairwise empirical semivariogram,pairwise,40,33,0.0407504558607559
Pairwise empirical semivariogram,pairwise,40,34,0.0438062609432075
Pairwise empirical semivariogram,pairwise,40,35,0.032866954202644
Pairwise empirical semivariogram,pairwise,40,36,0.0468036296039267
Pairwise empirical semivariogram,pairwise,40,37,0.0778478034505774
Pairwise empirical semivariogram,pairwise,40,38,0.0401177757384864
Pairwise empirical semivariogram,pairwise,40,39,0.0276283547709537
Pairwise empirical semivariogram,pairwise,40,40,0.0523608107520263
Pairwise empirical semivariogram,pairwise,40,41,0.0282227544584671
Pairwise empirical semivariogram,pairwise,40,42,0.0276932342074054
Pairwise empirical semivariogram,pairwise,40,43,0.0567820222732566
Pairwise empirical semivariogram,pairwise,40,44,0.047485281546937
Pairwise empirical semivariogram,pairwise,40,45,0.0262881763696893
Pairwise empirical semivariogram,pairwise,40,46,0.0455216397257489
Pairwise empirical semivariogram,pairwise,40,47,0.0486628452346641
Pairwise empirical semivariogram,pairwise,40,48,0.0271328849522707
Pairwise empirical semivariogram,pairwise,40,49,0.048071103428447
Pairwise empirical semivariogram,pairwise,40,50,0.0820955625140392
Pairwise empirical semivariogram,pairwise,40,51,0.0243399889933219
Pairwise empirical semivariogram,pairwise,40,52,0.035180847383189
Pairwise empirical semivariogram,pairwise,40,53,0.0728256608866328
Pairwise empirical semivariogram,pairwise,40,54,0.0447241107177942
Pairwise empirical semivariogram,pairwise,40,55,0.0198818179182639
Pairwise empirical semivariogram,pairwise,40,56,0.0527328000526954
Pairwise empirical semivariogram,pairwise,40,57,0.0226538494968342
