method,eqid,log_likelihood,n,fit_success,nearest_psd_used,min_eigenvalue_before_repair,n_observations
Kronecker semivariogram,1001,-189.0034510430881,351.0,,,,
Kronecker semivariogram,1002,-222.0621294776107,585.0,,,,
Kronecker semivariogram,1003,-165.08201582566957,369.0,,,,
Kronecker semivariogram,1006,-471.0262939908626,783.0,,,,
Kronecker semivariogram,1007,-357.19763458436205,684.0,,,,
Kronecker semivariogram,1011,-285.08497707590533,423.0,,,,
Kronecker semivariogram,1012,-483.7911667864972,1062.0,,,,
Kronecker semivariogram,1014,-461.5294313321688,1143.0,,,,
Kronecker semivariogram,1015,-404.1606686510032,810.0,,,,
Kronecker semivariogram,1016,-472.9824870268112,990.0,,,,
Kronecker semivariogram,1018,-795.0329905654688,1161.0,,,,
Kronecker semivariogram,1019,-435.2301822801801,864.0,,,,
Kronecker semivariogram,1031,-150.84383888225682,387.0,,,,
Kronecker semivariogram,1038,-340.074074820845,711.0,,,,
Kronecker semivariogram,1045,-254.95803556561617,360.0,,,,
Kronecker semivariogram,1064,-478.9535432379065,693.0,,,,
Kronecker semivariogram,1066,-424.4883205971457,792.0,,,,
Kronecker semivariogram,1068,-358.2742183204834,459.0,,,,
Kronecker semivariogram,1075,-208.7398245107995,441.0,,,,
Kronecker semivariogram,1128,-241.32586539956367,378.0,,,,
Kronecker semivariogram,118,-439.49370741060216,549.0,,,,
Kronecker semivariogram,125,-209.8112044092693,603.0,,,,
Kronecker semivariogram,127,-324.93434634430673,522.0,,,,
Kronecker semivariogram,137,-1372.7600907521824,3186.0,,,,
Kronecker semivariogram,158,-448.6699906107897,1098.0,,,,
Kronecker semivariogram,163,-310.0974612634122,621.0,,,,
Kronecker semivariogram,170,-283.4583787852603,558.0,,,,
Kronecker semivariogram,172,-1146.0593310475388,2115.0,,,,
Kronecker semivariogram,173,-789.5614527026814,2097.0,,,,
Kronecker semivariogram,174,-1174.121571472799,2241.0,,,,
Kronecker semivariogram,175,-958.5683027177048,2475.0,,,,
Kronecker semivariogram,176,-1860.79722105508,3006.0,,,,
Kronecker semivariogram,177,-183.5029751136792,558.0,,,,
Kronecker semivariogram,179,-1048.4674845543975,873.0,,,,
Kronecker semivariogram,180,-2345.1924474206057,4176.0,,,,
Kronecker semivariogram,274,-514.0940333826782,405.0,,,,
Kronecker semivariogram,278,-2468.3192001112866,4851.0,,,,
Kronecker semivariogram,279,-1933.367421221812,2907.0,,,,
Kronecker semivariogram,280,-1395.705275081481,2556.0,,,,
Kronecker semivariogram,281,-472.705289891224,603.0,,,,
Kronecker semivariogram,346,-467.64226111675686,549.0,,,,
PCA MLE,1001,-182.08213899736865,351.0,,,,
PCA MLE,1002,-218.982044290172,585.0,,,,
PCA MLE,1003,-166.86566109542375,369.0,,,,
PCA MLE,1006,-455.13005242980194,783.0,,,,
PCA MLE,1007,-347.3390919921195,684.0,,,,
PCA MLE,1011,-233.4895779732659,423.0,,,,
PCA MLE,1012,-438.24990578070816,1062.0,,,,
PCA MLE,1014,-447.9050574777285,1143.0,,,,
PCA MLE,1015,-391.3504417281076,810.0,,,,
PCA MLE,1016,-475.14594733732224,990.0,,,,
PCA MLE,1018,-648.3639605045823,1161.0,,,,
PCA MLE,1019,-418.5914799434074,864.0,,,,
PCA MLE,1031,-158.5961900137212,387.0,,,,
