method,eqid,n_stations,n_observations,log_likelihood,fit_success,nearest_psd_used,min_eigenvalue_before_repair
PCA semivariogram,278,542,4875,-2397.407988973456,True,False,0.0005178666070054
PCA MLE,278,542,4875,-2368.5334496084597,True,False,0.0015302143284429
Kronecker semivariogram,278,542,4875,-2612.162560293409,True,False,0.0006307115746964
LMC block MLE,278,542,4875,-2528.2326559599423,True,False,0.002727532628333
LMC semivariogram,278,542,4875,-2472.801032132586,True,False,0.0027049205525067
PCA semivariogram,180,464,4176,-2319.2243402149843,True,False,0.0009667097739843
PCA MLE,180,464,4176,-2234.586874760176,True,False,0.00168324113547
Kronecker semivariogram,180,464,4176,-2425.449692826356,True,False,0.000896527261437
LMC block MLE,180,464,4176,-2339.6084609966665,True,False,0.0029733889131673
LMC semivariogram,180,464,4176,-2280.50191576411,True,False,0.0028075200474659
PCA semivariogram,137,369,3302,-1291.389180512869,True,False,0.0011468443127811
PCA MLE,137,369,3302,-1299.6574581302386,True,False,0.0017294343991375
Kronecker semivariogram,137,369,3302,-1487.9303390762127,True,False,0.0009919800481801
LMC block MLE,137,369,3302,-1414.0861884641515,True,False,0.0030544774219063
LMC semivariogram,137,369,3302,-1371.303117509801,True,False,0.0028397312428358
PCA semivariogram,176,338,3036,-1861.4505786533448,True,False,0.0007616004593033
PCA MLE,176,338,3036,-1734.280652070863,True,False,0.0016222606033342
Kronecker semivariogram,176,338,3036,-1920.9793032577757,True,False,0.0007814181818512
LMC block MLE,176,338,3036,-1753.3775820973435,True,False,0.0028711081611643
LMC semivariogram,176,338,3036,-1717.8270045661247,True,False,0.002765780110665
PCA semivariogram,279,331,2964,-1894.7638723548464,True,False,0.0005918662104856
PCA MLE,279,331,2964,-1820.7213513976185,True,False,0.0015613241125832
Kronecker semivariogram,279,331,2964,-1920.2447647772456,True,False,0.000678772942283
LMC block MLE,279,331,2964,-1805.584297481992,True,False,0.002774667254236
LMC semivariogram,279,331,2964,-1777.218809072768,True,False,0.0027252426476689
PCA semivariogram,174,306,2695,-1286.4526150893464,True,False,0.0012245024482716
PCA MLE,174,306,2695,-1217.6703406430258,True,False,0.0017536707615644
Kronecker semivariogram,174,306,2695,-1291.4825643255294,True,False,0.0010261126135735
LMC block MLE,174,306,2695,-1148.83912077205,True,False,0.0030892463060682
LMC semivariogram,174,306,2695,-1147.6961067132909,True,False,0.0028520303549187
PCA semivariogram,280,284,2556,-1367.1888796374278,True,False,0.0002724415996533
PCA MLE,280,284,2556,-1295.1278706843843,True,False,0.0013896098684496
Kronecker semivariogram,280,284,2556,-1477.1215655958392,True,False,0.0004470604741859
LMC block MLE,280,284,2556,-1321.0542352974692,True,False,0.002531934785348
LMC semivariogram,280,284,2556,-1285.6311656628498,True,False,0.0026160449535323
PCA semivariogram,171,280,2026,-648.1593496416455,True,False,0.001245811558961
PCA MLE,171,280,2026,-643.8725678302181,True,False,0.0017540337006786
Kronecker semivariogram,171,280,2026,-728.2728890348462,True,False,0.0010381195762252
LMC block MLE,171,280,2026,-700.6191205810344,True,False,0.0030970512879825
LMC semivariogram,171,280,2026,-678.1867164800256,True,False,0.0028836504194444
