model,task,n_observations,rmse,mean_crps
Kronecker semivariogram,period_holdout,110225.0,0.3909327937743447,0.1914261057931647
Kronecker semivariogram,random_holdout,220500.0,0.3642702060806414,0.18114063520014967
Kronecker semivariogram,station_holdout,220110.0,0.8871113406689697,0.48238861094211377
LMC block MLE,period_holdout,110225.0,0.3850885455123096,0.1891875494866505
LMC block MLE,random_holdout,220500.0,0.35454912660436444,0.17616565748684465
LMC block MLE,station_holdout,220110.0,0.8744803147200279,0.47497807213409404
PCA MLE,period_holdout,110225.0,0.3929779593429547,0.19103004490214642
PCA MLE,random_holdout,220500.0,0.36498221106741674,0.17967604186384234
PCA MLE,station_holdout,220110.0,0.875967671109599,0.4764846706137991
PCA semivariogram,period_holdout,110225.0,0.39767393247978716,0.19364693933484675
PCA semivariogram,random_holdout,220500.0,0.36809777848518055,0.18166413774645726
PCA semivariogram,station_holdout,220110.0,0.8795979275210689,0.4778974799264364
Multivariate Matern semivariogram,period_holdout,110225.0,0.4004546889061006,0.19759283193976257
Multivariate Matern semivariogram,random_holdout,220500.0,0.3663191029894615,0.1821554559845135
Multivariate Matern semivariogram,station_holdout,220110.0,0.8936208097409041,0.4849165494323079
SBSS semivariogram,period_holdout,110225.0,0.39269832535302174,0.19144735347789124
SBSS semivariogram,random_holdout,220500.0,0.3642819732596237,0.17957092057973165
SBSS semivariogram,station_holdout,220110.0,0.8827498412897348,0.4795434481117557
GH08 semivariogram,period_holdout,110225.0,0.4258001387413292,0.2120168196826831
GH08 semivariogram,random_holdout,220500.0,0.3856874981608756,0.1973012163571218
GH08 semivariogram,station_holdout,220110.0,0.9198250481444517,0.4982409331946497
IOX full semivariogram,period_holdout,110225.0,0.4057232016551214,0.2039566531858815
IOX full semivariogram,random_holdout,220500.0,0.3719049254073843,0.1882598745685505
IOX full semivariogram,station_holdout,220110.0,0.8963792751278539,0.4873143743106879
LMC semivariogram,period_holdout,110225.0,0.39201318047033046,0.19444704359617013
LMC semivariogram,random_holdout,220500.0,0.35925828146258865,0.17887516313713814
LMC semivariogram,station_holdout,220110.0,0.8755715947067749,0.4757821653126937
Pairwise empirical semivariogram,period_holdout,110225.0,0.47530819506592825,0.23554343352782445
Pairwise empirical semivariogram,random_holdout,220500.0,0.4533484384223757,0.21040664271786272
Pairwise empirical semivariogram,station_holdout,220110.0,1.0569385540116276,0.55172485884855
