model,task,unit,n_observations,rmse,mean_crps
Kronecker semivariogram,period_holdout,T=0.01,13898.0,0.10643314857872603,0.05099820044995879
Kronecker semivariogram,period_holdout,T=0.03,13898.0,0.107782072968043,0.0485636851339236
Kronecker semivariogram,period_holdout,T=0.06,13898.0,0.2441680706531255,0.12794124315262861
Kronecker semivariogram,period_holdout,T=0.1,13897.0,0.35828374003562147,0.19739358640165927
Kronecker semivariogram,period_holdout,T=0.3,13891.0,0.45465728927393734,0.25502238685696393
Kronecker semivariogram,period_holdout,T=0.6,13846.0,0.42261133146286634,0.23539050647434218
Kronecker semivariogram,period_holdout,T=1,13342.0,0.4777673131384066,0.2668658689113065
Kronecker semivariogram,period_holdout,T=3,7997.0,0.601185070909158,0.33667088941731255
Kronecker semivariogram,period_holdout,T=6,5558.0,0.688413751174341,0.38508652455720865
Kronecker semivariogram,random_holdout,0,11025.0,0.3692634343189037,0.18377919277716265
Kronecker semivariogram,random_holdout,1,11025.0,0.36535142858910663,0.18180362228444003
Kronecker semivariogram,random_holdout,10,11025.0,0.36199104832171275,0.1796471321984677
Kronecker semivariogram,random_holdout,11,11025.0,0.3643393624320708,0.1818736534427929
Kronecker semivariogram,random_holdout,12,11025.0,0.3644718310323585,0.18187006561727706
Kronecker semivariogram,random_holdout,13,11025.0,0.3625866838872939,0.17975510569584663
Kronecker semivariogram,random_holdout,14,11025.0,0.36783937755868745,0.18212607477999268
Kronecker semivariogram,random_holdout,15,11025.0,0.3627325219066927,0.18099825864282118
Kronecker semivariogram,random_holdout,16,11025.0,0.36612272808776497,0.18134931782546543
Kronecker semivariogram,random_holdout,17,11025.0,0.36332664864892594,0.18077835082340002
Kronecker semivariogram,random_holdout,18,11025.0,0.3654214802336778,0.1814630411195848
Kronecker semivariogram,random_holdout,19,11025.0,0.35759629906027757,0.17768634911957965
Kronecker semivariogram,random_holdout,2,11025.0,0.3711097709073727,0.18301171702572894
Kronecker semivariogram,random_holdout,3,11025.0,0.3659058355274595,0.18203059749108744
Kronecker semivariogram,random_holdout,4,11025.0,0.36171095130876196,0.18078312960926574
Kronecker semivariogram,random_holdout,5,11025.0,0.36275834580400074,0.18022821279792342
Kronecker semivariogram,random_holdout,6,11025.0,0.36314558075463926,0.18113247466538826
Kronecker semivariogram,random_holdout,7,11025.0,0.3629458732111549,0.1811155268806283
Kronecker semivariogram,random_holdout,8,11025.0,0.36625823718330713,0.18232555599195696
Kronecker semivariogram,random_holdout,9,11025.0,0.36027870607635426,0.17905532521418377
Kronecker semivariogram,station_holdout,0,10998.0,0.8998609076309131,0.492115273099473
Kronecker semivariogram,station_holdout,1,11005.0,0.9413723989544321,0.502272981548522
Kronecker semivariogram,station_holdout,10,11011.0,0.8768771113124231,0.47748113423062993
Kronecker semivariogram,station_holdout,11,10985.0,0.8948832566214315,0.48352663995291373
Kronecker semivariogram,station_holdout,12,11005.0,0.9021093863148609,0.4916404284567973
Kronecker semivariogram,station_holdout,13,11031.0,0.8638805937283545,0.4742834445750787
Kronecker semivariogram,station_holdout,14,11015.0,0.8885754541374741,0.48165637221033497
Kronecker semivariogram,station_holdout,15,11003.0,0.8501883466811064,0.46804496561006875
Kronecker semivariogram,station_holdout,16,10994.0,0.8888571090668038,0.4808826286290637
Kronecker semivariogram,station_holdout,17,11032.0,0.8965817587469836,0.4857530621731146
Kronecker semivariogram,station_holdout,18,10996.0,0.8781412390902317,0.4824304609551114
Kronecker semivariogram,station_holdout,19,10999.0,0.8719656017043559,0.4772833472809531
Kronecker semivariogram,station_holdout,2,11020.0,0.9040242404729288,0.48850061973203357
Kronecker semivariogram,station_holdout,3,10999.0,0.8742606698402944,0.4757128604036834
Kronecker semivariogram,station_holdout,4,11013.0,0.8928251362981778,0.48603909112126087
Kronecker semivariogram,station_holdout,5,11015.0,0.8935365320123656,0.4817159969527226
Kronecker semivariogram,station_holdout,6,11014.0,0.8852897439324213,0.48140587111674954
Kronecker semivariogram,station_holdout,7,11019.0,0.8874433065025664,0.4844563740003223
Kronecker semivariogram,station_holdout,8,10982.0,0.8844870566435827,0.4798148541385766
Kronecker semivariogram,station_holdout,9,10974.0,0.8630940924019946,0.4727229960941655
LMC block MLE,period_holdout,T=0.01,13898.0,0.10637376766343914,0.051882888891011926
LMC block MLE,period_holdout,T=0.03,13898.0,0.1077575411950834,0.04948489950763005
LMC block MLE,period_holdout,T=0.06,13898.0,0.24167233304743313,0.12689442875156096
LMC block MLE,period_holdout,T=0.1,13897.0,0.3523657465377827,0.19444243677109518
LMC block MLE,period_holdout,T=0.3,13891.0,0.44681703536351675,0.25060892265007517
