model,wls45,log_likelihood,Pseudo_RMSE,Pseudo_RMSE_wins,Pseudo_RMSE_n,Pseudo_CRPS,Pseudo_CRPS_wins,Pseudo_CRPS_n,Station_RMSE,Station_RMSE_wins,Station_RMSE_n,Station_CRPS,Station_CRPS_wins,Station_CRPS_n,Period_RMSE,Period_RMSE_wins,Period_RMSE_n,Period_CRPS,Period_CRPS_wins,Period_CRPS_n
Pairwise empirical semivariogram,0.12208310026672346,-67787.65003516107,0.4533484384223757,0,20,0.21040664271786272,0,20,1.0569385540116276,0,20,0.55172485884855,0,20,0.47530819506592825,0,9,0.23554343352782445,0,9
GH08 semivariogram,0.20825887746314029,-67469.50175769524,0.3856874981608756,0,20,0.1973012163571218,0,20,0.9198250481444517,0,20,0.4982409331946497,0,20,0.4258001387413292,0,9,0.2120168196826831,0,9
Kronecker semivariogram,0.34465038334199194,-62245.1249643504,0.3642702060806414,0,20,0.18114063520014967,0,20,0.8871113406689697,0,20,0.48238861094211377,0,20,0.3909327937743447,0,9,0.1914261057931647,0,9
PCA MLE,1.9366685271150788,-64359.577651220345,0.36498221106741674,0,20,0.17967604186384234,0,20,0.875967671109599,6,20,0.4764846706137991,3,20,0.3929779593429547,0,9,0.19103004490214642,3,9
PCA semivariogram,1.1973830075642318,-65838.50373295121,0.36809777848518055,0,20,0.18166413774645726,0,20,0.8795979275210689,0,20,0.4778974799264364,0,20,0.39767393247978716,0,9,0.19364693933484675,0,9
LMC block MLE,0.22145943703586124,-58091.728153323565,0.35454912660436444,20,20,0.17616565748684465,20,20,0.8744803147200279,11,20,0.47497807213409404,16,20,0.3850885455123096,9,9,0.1891875494866505,6,9
LMC semivariogram,0.16147529382504422,-59531.0903163501,0.35925828146258865,0,20,0.17887516313713814,0,20,0.8755715947067749,3,20,0.4757821653126937,1,20,0.39201318047033046,0,9,0.19444704359617013,0,9
Multivariate Matern semivariogram,0.10224778901582471,-61298.24210095508,0.3663191029894615,0,20,0.1821554559845135,0,20,0.8936208097409041,0,20,0.4849165494323079,0,20,0.4004546889061006,0,9,0.19759283193976257,0,9
SBSS semivariogram,1.0976055253302626,-61921.40342898903,0.3642819732596237,0,20,0.17957092057973165,0,20,0.8827498412897348,0,20,0.4795434481117557,0,20,0.39269832535302174,0,9,0.19144735347789124,0,9
IOX full semivariogram,0.1482866226894109,-65620.95568279154,0.3719049254073843,0,20,0.1882598745685505,0,20,0.8963792751278539,0,20,0.4873143743106879,0,20,0.4057232016551214,0,9,0.2039566531858815,0,9
