model,task,metric,mean,sd,se,wins,n,mean_rank
GH08 semivariogram,random_holdout,rmse,0.385676901434804,0.0029332822004109775,0.0006559018397309106,0,20,9.0
IOX full semivariogram,random_holdout,rmse,0.37189017398155216,0.003398457582493797,0.0007599182173105729,0,20,8.0
Kronecker semivariogram,random_holdout,rmse,0.3642578072425261,0.0030835558591433424,0.000689504051346228,0,20,3.8
LMC block MLE,random_holdout,rmse,0.35453406827310324,0.003352549640932446,0.000749652889506746,20,20,1.0
LMC semivariogram,random_holdout,rmse,0.35924410175382204,0.003274808880259925,0.0007322695269581162,0,20,2.0
Multivariate Matern semivariogram,random_holdout,rmse,0.36630664301251664,0.0030998301998419638,0.0006931431045553388,0,20,5.95
PCA MLE,random_holdout,rmse,0.36496893604967673,0.0031937627416290387,0.0007141470594288628,0,20,4.75
PCA semivariogram,random_holdout,rmse,0.36808374788303844,0.0032973785602137345,0.0007373162608188293,0,20,6.95
Pairwise empirical semivariogram,random_holdout,rmse,0.45332091267478625,0.00512545265835246,0.0011460860559533105,0,20,10.0
SBSS semivariogram,random_holdout,rmse,0.364267610368341,0.003318858152348881,0.0007421192436331451,0,20,3.55
GH08 semivariogram,random_holdout,mean_crps,0.19730121635712178,0.0013274890532536292,0.0002968355762461953,0,20,9.0
IOX full semivariogram,random_holdout,mean_crps,0.1882598745685505,0.001458725207165278,0.00032618087237140246,0,20,8.0
Kronecker semivariogram,random_holdout,mean_crps,0.18114063520014967,0.0013922704144096725,0.000311321128968183,0,20,5.2
LMC block MLE,random_holdout,mean_crps,0.1761656574868447,0.0015025241090987854,0.00033597460457771944,20,20,1.0
LMC semivariogram,random_holdout,mean_crps,0.17887516313713814,0.001416929314074646,0.0003168350265583058,0,20,2.0
Multivariate Matern semivariogram,random_holdout,mean_crps,0.1821554559845135,0.001356789792100649,0.0003033874206314858,0,20,6.85
PCA MLE,random_holdout,mean_crps,0.17967604186384234,0.0014772017749697757,0.0003303123585315766,0,20,3.55
PCA semivariogram,random_holdout,mean_crps,0.18166413774645732,0.0015028927112842492,0.0003360570265320546,0,20,5.95
Pairwise empirical semivariogram,random_holdout,mean_crps,0.21040664271786272,0.0013949914686778228,0.00031192957519958806,0,20,10.0
SBSS semivariogram,random_holdout,mean_crps,0.17957092057973165,0.0014763731322117153,0.000330127068377968,0,20,3.45
GH08 semivariogram,station_holdout,rmse,0.9196632466579324,0.017518206401983923,0.0039171900358708055,0,20,9.0
IOX full semivariogram,station_holdout,rmse,0.8961910523137234,0.018696401717756776,0.0041806425175547985,0,20,7.85
Kronecker semivariogram,station_holdout,rmse,0.8869126971046851,0.01907889376055355,0.004266170338409433,0,20,6.0
