component,row,column,value
B1,0,0,0.8523144781805051
B1,0,1,0.82448699367559
B1,0,2,0.7494657292776558
B1,0,3,0.7173600254757833
B1,0,4,0.6596348018077146
B1,0,5,0.5129162524932355
B1,0,6,0.46122644750044156
B1,0,7,0.2527431546369851
B1,0,8,0.15110954972014098
B1,1,0,0.82448699367559
B1,1,1,0.8104712386094274
B1,1,2,0.740480882852341
B1,1,3,0.6934629807763797
B1,1,4,0.6161131884904436
B1,1,5,0.470300675942765
B1,1,6,0.42415501221951196
B1,1,7,0.22783154757276577
B1,1,8,0.13232500040846987
B1,2,0,0.7494657292776558
B1,2,1,0.740480882852341
B1,2,2,0.6907148837071488
B1,2,3,0.6499416237405417
B1,2,4,0.5243884168417661
B1,2,5,0.3770465910085272
B1,2,6,0.3559264215549027
B1,2,7,0.16497727769844928
B1,2,8,0.09236290542212901
B1,3,0,0.7173600254757833
B1,3,1,0.6934629807763797
B1,3,2,0.6499416237405417
B1,3,3,0.6385568248262865
B1,3,4,0.5207551154363299
B1,3,5,0.36082156367491297
B1,3,6,0.36106541244597623
B1,3,7,0.17004663515886326
B1,3,8,0.09762759083997007
B1,4,0,0.6596348018077146
B1,4,1,0.6161131884904436
B1,4,2,0.5243884168417661
B1,4,3,0.5207551154363299
B1,4,4,0.6448092623670011
B1,4,5,0.5642871715392391
B1,4,6,0.5014961955897571
B1,4,7,0.32121044020690254
B1,4,8,0.18967274409143936
B1,5,0,0.5129162524932355
B1,5,1,0.470300675942765
B1,5,2,0.3770465910085272
B1,5,3,0.36082156367491297
B1,5,4,0.5642871715392391
B1,5,5,0.650227242268041
B1,5,6,0.5613100398288732
B1,5,7,0.3728699350393318
B1,5,8,0.22576570380372968
B1,6,0,0.46122644750044156
B1,6,1,0.42415501221951196
B1,6,2,0.3559264215549027
B1,6,3,0.36106541244597623
B1,6,4,0.5014961955897571
B1,6,5,0.5613100398288732
B1,6,6,0.6099296983942339
B1,6,7,0.46138943525555354
B1,6,8,0.3305343787604279
B1,7,0,0.2527431546369851
B1,7,1,0.22783154757276577
B1,7,2,0.16497727769844928
B1,7,3,0.17004663515886326
B1,7,4,0.32121044020690254
B1,7,5,0.3728699350393318
B1,7,6,0.46138943525555354
B1,7,7,0.7491705669457774
B1,7,8,0.47398220340788966
B1,8,0,0.15110954972014098
B1,8,1,0.13232500040846987
B1,8,2,0.09236290542212901
B1,8,3,0.09762759083997007
B1,8,4,0.18967274409143936
B1,8,5,0.22576570380372968
B1,8,6,0.3305343787604279
B1,8,7,0.47398220340788966
B1,8,8,0.5042951865990064
B2,0,0,0.5805687600821073
B2,0,1,0.5966638656175661
B2,0,2,0.6557955440794311
B2,0,3,0.6417351404348997
B2,0,4,0.45073810577110485
B2,0,5,0.2978674951354207
B2,0,6,0.19183997219546006
B2,0,7,0.1354907736948527
B2,0,8,0.09278604814906383
B2,1,0,0.5966638656175661
B2,1,1,0.6142583671637054
B2,1,2,0.67774860493845
B2,1,3,0.6567797429195285
B2,1,4,0.4545082719900082
B2,1,5,0.29621651902437895
B2,1,6,0.18934981527406627
B2,1,7,0.1418633627127422
B2,1,8,0.09835949052938987
B2,2,0,0.6557955440794311
B2,2,1,0.67774860493845
B2,2,2,0.776774858932563
B2,2,3,0.7426898331336231
B2,2,4,0.4585544508907463
B2,2,5,0.2595728133622722
B2,2,6,0.1379940277250669
B2,2,7,0.13060280339853553
B2,2,8,0.07577961462587104
B2,3,0,0.6417351404348997
B2,3,1,0.6567797429195285
B2,3,2,0.7426898331336231
B2,3,3,0.7679767184457378
B2,3,4,0.49343508436641215
B2,3,5,0.28339369764293826
B2,3,6,0.1381808047145673
B2,3,7,0.10310609989947239
B2,3,8,0.06475122097970151
B2,4,0,0.45073810577110485
B2,4,1,0.4545082719900082
B2,4,2,0.4585544508907463
B2,4,3,0.49343508436641215
B2,4,4,0.46640048743466417
B2,4,5,0.34509095465029954
B2,4,6,0.2374082590256654
B2,4,7,0.05476691295809924
B2,4,8,0.04176654960206291
B2,5,0,0.2978674951354207
B2,5,1,0.29621651902437895
B2,5,2,0.2595728133622722
B2,5,3,0.28339369764293826
B2,5,4,0.34509095465029954
B2,5,5,0.3594196827926559
B2,5,6,0.3255485778778303
B2,5,7,0.12473591304095365
B2,5,8,0.059924439344115815
B2,6,0,0.19183997219546006
B2,6,1,0.18934981527406627
B2,6,2,0.1379940277250669
B2,6,3,0.1381808047145673
B2,6,4,0.2374082590256654
B2,6,5,0.3255485778778303
B2,6,6,0.3428338431603557
B2,6,7,0.1605634551370094
B2,6,8,0.06302026626333641
B2,7,0,0.1354907736948527
B2,7,1,0.1418633627127422
B2,7,2,0.13060280339853553
B2,7,3,0.10310609989947239
B2,7,4,0.05476691295809924
B2,7,5,0.12473591304095365
B2,7,6,0.1605634551370094
B2,7,7,0.23489776795310993
B2,7,8,0.23351132336282732
B2,8,0,0.09278604814906383
B2,8,1,0.09835949052938987
B2,8,2,0.07577961462587104
B2,8,3,0.06475122097970151
B2,8,4,0.04176654960206291
B2,8,5,0.059924439344115815
B2,8,6,0.06302026626333641
B2,8,7,0.23351132336282732
B2,8,8,0.5418255606188
B3,0,0,0.10322123614790038
B3,0,1,0.10584345441653256
B3,0,2,0.11404074945031639
B3,0,3,0.1075179193512968
B3,0,4,0.09601410705156305
B3,0,5,0.05982448517609792
B3,0,6,0.007337320347687708
B3,0,7,0.033153348862505434
B3,0,8,0.04722165413461526
B3,1,0,0.10584345441653256
B3,1,1,0.11266147648671741
B3,1,2,0.11916815513537915
B3,1,3,0.11265851613376557
B3,1,4,0.09557532573726814
B3,1,5,0.06217566967416545
B3,1,6,0.008669008427943558
B3,1,7,0.03176569109289679
B3,1,8,0.0458127289665549
B3,2,0,0.11404074945031639
B3,2,1,0.11916815513537915
B3,2,2,0.17561118977005236
B3,2,3,0.13907718459791493
B3,2,4,0.09259894645991129
B3,2,5,0.0658318706892066
B3,2,6,0.0023565507469443907
B3,2,7,0.030148052357476245
B3,2,8,0.04465916305657264
B3,3,0,0.1075179193512968
B3,3,1,0.11265851613376557
B3,3,2,0.13907718459791493
B3,3,3,0.19880916582455416
B3,3,4,0.08223423157928746
B3,3,5,0.05412959888730173
B3,3,6,-0.014898530523680568
B3,3,7,0.02804197754679999
B3,3,8,0.04300108584694031
B3,4,0,0.09601410705156305
B3,4,1,0.09557532573726814
B3,4,2,0.09259894645991129
B3,4,3,0.08223423157928746
B3,4,4,0.22136970876793932
B3,4,5,0.06768644870500769
B3,4,6,0.015126502920022506
B3,4,7,0.03927751157380613
B3,4,8,0.06077680500118406
B3,5,0,0.05982448517609792
B3,5,1,0.06217566967416545
B3,5,2,0.0658318706892066
B3,5,3,0.05412959888730173
B3,5,4,0.06768644870500769
B3,5,5,0.14822440633967593
B3,5,6,0.08344550453603443
B3,5,7,0.06707060049592181
B3,5,8,0.08023922093509304
B3,6,0,0.007337320347687708
B3,6,1,0.008669008427943558
B3,6,2,0.0023565507469443907
B3,6,3,-0.014898530523680568
B3,6,4,0.015126502920022506
B3,6,5,0.08344550453603443
B3,6,6,0.16195980081794462
B3,6,7,0.07214127627765218
B3,6,8,0.059772695099878995
B3,7,0,0.033153348862505434
B3,7,1,0.03176569109289679
B3,7,2,0.030148052357476245
B3,7,3,0.02804197754679999
B3,7,4,0.03927751157380613
B3,7,5,0.06707060049592181
B3,7,6,0.07214127627765218
B3,7,7,0.053993906811876796
B3,7,8,0.05569561658738138
B3,8,0,0.04722165413461526
B3,8,1,0.0458127289665549
B3,8,2,0.04465916305657264
B3,8,3,0.04300108584694031
B3,8,4,0.06077680500118406
B3,8,5,0.08023922093509304
B3,8,6,0.059772695099878995
B3,8,7,0.05569561658738138
B3,8,8,0.06677100305675376
