method,task,metric,mean,sd,se,wins,n,mean_rank
GH08 semivariogram,random_holdout,rmse,0.385676901434804,0.0029332822004109705,0.0006559018397309091,0,20,9.0
IOX,random_holdout,rmse,0.37189017398155216,0.003398457582493795,0.0007599182173105725,0,20,8.0
Separable kernel semivariogram,random_holdout,rmse,0.3642578072425261,0.0030835558591433437,0.0006895040513462282,0,20,3.8
LMC MLE,random_holdout,rmse,0.35453406827310324,0.003352549640932446,0.000749652889506746,20,20,1.0
LMC semivariogram,random_holdout,rmse,0.35924410175382204,0.0032748088802599233,0.0007322695269581157,0,20,2.0
Multivariate Matern,random_holdout,rmse,0.3663066430125166,0.0030998301998419603,0.000693143104555338,0,20,5.95
PCA MLE,random_holdout,rmse,0.36496893604967673,0.0031937627416290474,0.0007141470594288647,0,20,4.75
PCA semivariogram,random_holdout,rmse,0.36808374788303844,0.003297378560213737,0.0007373162608188299,0,20,6.95
Pairwise empirical semivariogram,random_holdout,rmse,0.45332091267478625,0.005125452658352473,0.0011460860559533135,0,20,10.0
SBSS,random_holdout,rmse,0.36426761036834104,0.003318858152348875,0.0007421192436331437,0,20,3.55
GH08 semivariogram,random_holdout,crps,0.19730121635712183,0.0013274890532536273,0.00029683557624619487,0,20,9.0
IOX,random_holdout,crps,0.18825987456855056,0.001458725207165284,0.0003261808723714038,0,20,8.0
Separable kernel semivariogram,random_holdout,crps,0.18114063520014967,0.0013922704144096719,0.0003113211289681829,0,20,5.2
LMC MLE,random_holdout,crps,0.17616565748684468,0.001502524109098785,0.00033597460457771933,20,20,1.0
LMC semivariogram,random_holdout,crps,0.17887516313713814,0.0014169293140746451,0.0003168350265583056,0,20,2.0
Multivariate Matern,random_holdout,crps,0.1821554559845135,0.0013567897921006478,0.00030338742063148555,0,20,6.85
PCA MLE,random_holdout,crps,0.17967604186384234,0.0014772017749697707,0.00033031235853157545,0,20,3.55
PCA semivariogram,random_holdout,crps,0.18166413774645732,0.001502892711284248,0.00033605702653205434,0,20,5.95
Pairwise empirical semivariogram,random_holdout,crps,0.21040664271786272,0.0013949914686778207,0.0003119295751995876,0,20,10.0
SBSS,random_holdout,crps,0.17957092057973165,0.0014763731322117134,0.00033012706837796756,0,20,3.45
GH08 semivariogram,station_holdout,rmse,0.9196632466579325,0.017518206401983955,0.0039171900358708125,0,20,9.0
IOX,station_holdout,rmse,0.8961910523137234,0.018696401717756793,0.004180642517554802,0,20,7.85
Separable kernel semivariogram,station_holdout,rmse,0.8869126971046851,0.01907889376055354,0.004266170338409431,0,20,6.0
LMC MLE,station_holdout,rmse,0.8742635672774866,0.019829570470272027,0.004434026753615072,11,20,1.45
LMC semivariogram,station_holdout,rmse,0.8753526607636379,0.019955480488299565,0.004462181089550852,3,20,2.25
Multivariate Matern,station_holdout,rmse,0.8934311943807829,0.01872978067659449,0.0041881062796527285,0,20,7.15
PCA MLE,station_holdout,rmse,0.8757395137924447,0.020342774915702754,0.004548782756248891,6,20,2.3
PCA semivariogram,station_holdout,rmse,0.8793860341514257,0.019645335019500762,0.0043928304544360855,0,20,4.0
Pairwise empirical semivariogram,station_holdout,rmse,1.056712060636846,0.022516154128434218,0.005034765122304144,0,20,10.0
SBSS,station_holdout,rmse,0.8825421066538413,0.01948161132360969,0.004356220723082092,0,20,5.0
GH08 semivariogram,station_holdout,crps,0.49823945766471056,0.007532189247051005,0.0016842487175799004,0,20,9.0
IOX,station_holdout,crps,0.48731317848235045,0.007612850556889328,0.0017022851347751667,0,20,7.95
Separable kernel semivariogram,station_holdout,crps,0.4823869701140787,0.007655696779221589,0.0017118658413465672,0,20,6.0
LMC MLE,station_holdout,crps,0.47497697683912643,0.008059634876972135,0.0018021891458737847,16,20,1.2
LMC semivariogram,station_holdout,crps,0.47578122489597147,0.008131252654882222,0.0018182033678542284,1,20,2.25
Multivariate Matern,station_holdout,crps,0.484915260558644,0.007694062090718686,0.0017204445857951134,0,20,7.05
PCA MLE,station_holdout,crps,0.4764831052076991,0.008576966725577038,0.001917868063914404,3,20,2.55
PCA semivariogram,station_holdout,crps,0.4778959457200635,0.008176079343277002,0.0018282269200999212,0,20,4.0
Pairwise empirical semivariogram,station_holdout,crps,0.5517246107134546,0.009560359009209,0.0021377612633893864,0,20,10.0
SBSS,station_holdout,crps,0.4795419384908842,0.007913056189323713,0.0017694131549103266,0,20,5.0
GH08 semivariogram,period_holdout,rmse,0.42407932903954315,0.22245168036562177,,0,9,8.333333333333334
IOX,period_holdout,rmse,0.40276567385605766,0.19658623411031592,,0,9,8.11111111111111
Separable kernel semivariogram,period_holdout,rmse,0.3845890875771361,0.20268928032937997,,0,9,3.111111111111111
LMC MLE,period_holdout,rmse,0.37907780738289026,0.19865141664176095,,9,9,1.0
LMC semivariogram,period_holdout,rmse,0.3854744432905842,0.20235057757883942,,0,9,3.6666666666666665
Multivariate Matern,period_holdout,rmse,0.3956481497215245,0.2048991865882729,,0,9,6.666666666666667
PCA MLE,period_holdout,rmse,0.3866868620470757,0.19909415560269647,,0,9,4.222222222222222
PCA semivariogram,period_holdout,rmse,0.3903645091254748,0.20054919477686892,,0,9,5.666666666666667
Pairwise empirical semivariogram,period_holdout,rmse,0.4698878959134291,0.25092306548654686,,0,9,9.777777777777779
SBSS,period_holdout,rmse,0.38654599035854065,0.19872962131225816,,0,9,4.444444444444445
GH08 semivariogram,period_holdout,crps,0.23577579980324626,0.1276649912666339,,0,9,8.333333333333334
IOX,period_holdout,crps,0.2233272166340329,0.11164982698610874,,0,9,8.222222222222221
Separable kernel semivariogram,period_holdout,crps,0.21154809903947824,0.11769689527169426,,0,9,3.4444444444444446
LMC MLE,period_holdout,crps,0.20890002643354474,0.11524101449037824,,6,9,2.0
LMC semivariogram,period_holdout,crps,0.21443725791515084,0.11710490156147972,,0,9,5.777777777777778
Multivariate Matern,period_holdout,crps,0.21825658242877374,0.11881167222352833,,0,9,6.444444444444445
PCA MLE,period_holdout,crps,0.21071984998224433,0.11784888031798499,,3,9,2.6666666666666665
PCA semivariogram,period_holdout,crps,0.21308714275717097,0.11832230945096209,,0,9,4.666666666666667
Pairwise empirical semivariogram,period_holdout,crps,0.2620384574588361,0.14548861825423115,,0,9,9.777777777777779
SBSS,period_holdout,crps,0.2110628062874691,0.11728294082169263,,0,9,3.6666666666666665
