representation,wls,log_likelihood,pseudo_rmse,pseudo_crps,station_rmse,station_crps,period_rmse,period_crps
Pairwise empirical semivariogram,0.12208310026672346,-67787.6500351611,0.4533484384223757,0.21040664271786272,1.0569385540116276,0.55172485884855,0.47530819506592825,0.23554343352782445
GH08 semivariogram,0.2082588774631403,-67469.50175769524,0.3856874981608756,0.19730121635712183,0.9198250481444514,0.49824093319464974,0.42580013874132927,0.21201681968268318
Separable kernel semivariogram,0.34465038334199194,-62245.12496435039,0.3642702060806414,0.18114063520014967,0.8871113406689697,0.4823886109421139,0.3909327937743447,0.19142610579316474
PCA MLE,1.9366685271150788,-64359.577651220345,0.36498221106741674,0.17967604186384234,0.875967671109599,0.4764846706137991,0.3929779593429547,0.19103004490214642
PCA semivariogram,1.1973830075642318,-65838.50373295123,0.36809777848518055,0.18166413774645726,0.8795979275210689,0.4778974799264365,0.39767393247978716,0.19364693933484678
LMC MLE,0.22145943703586124,-58091.72815332357,0.35454912660436444,0.17616565748684465,0.874480314720028,0.47497807213409404,0.3850885455123096,0.18918754948665054
LMC semivariogram,0.16147529382504422,-59531.090316350084,0.35925828146258865,0.17887516313713814,0.8755715947067749,0.47578216531269374,0.39201318047033046,0.19444704359617015
Multivariate Matern,0.10224778901582471,-61298.24210095508,0.3663191029894615,0.1821554559845135,0.893620809740904,0.4849165494323079,0.4004546889061006,0.19759283193976257
SBSS,1.0976055253302628,-61921.403428989026,0.3642819732596237,0.17957092057973165,0.8827498412897348,0.47954344811175564,0.39269832535302174,0.19144735347789124
IOX,0.1482866226894109,-65620.95568279154,0.37190492540738435,0.18825987456855053,0.8963792751278539,0.48731437431068797,0.4057232016551214,0.20395665318588158
