method,wls_pairwise_definition_81,auto_wls_9,ordered_cross_wls_72,unique_lower_triangle_wls_45,rank,ratio_to_pairwise
Multivariate Matern semivariogram,0.17834701753232862,0.026148560499320794,0.15219845703300783,0.10224778901582471,1,0.8375261505682345
Pairwise semivariogram,0.20447201975298135,0.03969418078046556,0.1647778389725158,0.12208310026672346,2,1.0
IOX full semivariogram,0.25687404998895935,0.0396991953898624,0.21717485459909697,0.1482866226894109,3,1.2146367708998114
LMC semivariogram,0.27662106853382595,0.0463295191162625,0.23029154941756344,0.16147529382504422,4,1.3226670478736031
GH08 semivariogram,0.37682357414597273,0.03969418078030788,0.33712939336566483,0.2082588774631403,5,1.7058780208574538
LMC block MLE,0.38004329319847746,0.06287558087324502,0.31716771232523244,0.22145943703586124,6,1.814005677706606
Kronecker semivariogram,0.5763133954529416,0.11298737123104233,0.4633260242218993,0.34465038334199194,7,2.823080201838012
SBSS semivariogram,1.8146016272613397,0.38060942339918585,1.4339922038621538,1.0976055253302628,8,8.99064262729442
PCA semivariogram,1.9571537051163646,0.437612310012099,1.5195413951042656,1.1973830075642318,9,9.807934144432977
PCA MLE,3.1868133795906814,0.6865236746394764,2.500289704951205,1.9366685271150788,10,15.863526752547273
